Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
15,0.002659727,0.002757375,0.002661679,0.002581762,0.002655668,0.002432406,0.002548298,0.002347661,0.002340738,0.002552007,0.003228126,0.003046066,0.003266463,0.005619602,0.002992169,0.002389265,0.002248762,0.002161966,0.002053304,0.0020609,0.002104987,0.001977331,0.002031683,0.002124085,0.002191817,0.002046808,0.002125063,0.002085669,0.002118322,0.00201105,0.001834747,0.001765586,0.001763433,0.001736062,0.00155395,0.002229572
16,0.002979109,0.00302908,0.002904487,0.002815214,0.002909012,0.002646396,0.002775837,0.002577624,0.002534308,0.002778643,0.00363473,0.003369319,0.003716405,0.006530954,0.003262616,0.00254292,0.002558216,0.002437951,0.002321754,0.002326712,0.002379645,0.002254786,0.002312637,0.002398716,0.002472072,0.002334106,0.0024671,0.002414537,0.002442866,0.002297613,0.002081422,0.002011684,0.002039581,0.00197147,0.001798712,0.002620057
17,0.003273684,0.003294916,0.003138427,0.003039724,0.003155332,0.002850982,0.002956928,0.002767836,0.002682917,0.002958579,0.00400015,0.003664711,0.004157833,0.007456206,0.00349597,0.002654115,0.002912029,0.002750893,0.002626975,0.002628472,0.002691855,0.002562,0.002623088,0.002699175,0.002778158,0.002652236,0.002835139,0.002767027,0.002788771,0.002598471,0.00233704,0.002272075,0.002338756,0.002219035,0.002064173,0.003051601
18,0.003499637,0.003521584,0.003374246,0.003282612,0.003372802,0.003075723,0.003088723,0.00288892,0.002813269,0.003097999,0.004634372,0.004065083,0.004602249,0.008437721,0.003610823,0.002622385,0.003192922,0.003081553,0.002923409,0.002929645,0.002959471,0.002812767,0.002900548,0.002944149,0.003059306,0.002906,0.003095483,0.003022786,0.003047632,0.002847649,0.002578783,0.002505279,0.002554325,0.002433853,0.00228164,0.003522945
19,0.003693963,0.003750152,0.003614677,0.003532006,0.003592149,0.003306133,0.003204343,0.00299455,0.002930429,0.003222273,0.005309747,0.004432532,0.005007909,0.009376051,0.00365642,0.00252131,0.003402064,0.003354559,0.003161792,0.003173443,0.003162003,0.002999004,0.0031147,0.003118569,0.0032717,0.003092179,0.003278696,0.003203477,0.00323097,0.003027461,0.002760348,0.002688891,0.002714744,0.00259807,0.002454997,0.003954189
20,0.0039329,0.003917898,0.003798985,0.003728356,0.003753292,0.003486521,0.003220957,0.003007407,0.002958292,0.003247851,0.005873373,0.004619289,0.005208448,0.00994695,0.003528246,0.002287782,0.003514914,0.003541023,0.003316231,0.003333557,0.003276074,0.00309138,0.003233436,0.003193457,0.003382607,0.003180992,0.003416998,0.003340476,0.003370362,0.003166985,0.002907131,0.002926615,0.002925025,0.002812048,0.002678846,0.004495959
21,0.00417333,0.004131836,0.004030528,0.003972814,0.003958732,0.003711525,0.003265796,0.00304639,0.003013144,0.003302638,0.006534079,0.004921758,0.005538775,0.010780082,0.00346896,0.002088153,0.003611791,0.00371765,0.003459723,0.003483086,0.003376023,0.003192154,0.003362399,0.003275682,0.003503344,0.00327804,0.003500507,0.003424043,0.003455929,0.003256569,0.003009463,0.003012146,0.002979305,0.002877742,0.002764295,0.004828954
22,0.004397562,0.004328873,0.004248248,0.004205536,0.004148037,0.003925173,0.003261319,0.003039148,0.003023577,0.003308304,0.007141907,0.005202803,0.005844099,0.011581447,0.003370652,0.00185072,0.003677202,0.003867299,0.003576641,0.003606218,0.003447223,0.003267139,0.003465512,0.003330223,0.00359636,0.003348234,0.003540066,0.003464702,0.003498239,0.003305774,0.003075309,0.003041066,0.00297578,0.002888397,0.002798214,0.005082882
23,0.004579656,0.004525623,0.004452029,0.004384812,0.004317163,0.004052216,0.003379657,0.00316417,0.003139695,0.003420772,0.00711088,0.005128526,0.005899321,0.012294324,0.003607553,0.001876851,0.003770414,0.003959455,0.003668126,0.003670022,0.003542837,0.003371305,0.003550497,0.003392262,0.003655154,0.003400482,0.003572695,0.003491492,0.00353916,0.003327787,0.00313403,0.003096906,0.003049987,0.002950298,0.002862485,0.005025209
24,0.004732331,0.004693923,0.004628617,0.004535649,0.004457718,0.004149994,0.003493713,0.003285794,0.0032521,0.003528592,0.007058824,0.005041505,0.0059496,0.013038713,0.003855541,0.001902007,0.003865954,0.004053778,0.003761914,0.003734781,0.003641028,0.003460481,0.003618761,0.003437604,0.00369565,0.003435616,0.003551443,0.003465595,0.003526759,0.003299567,0.003145684,0.003104979,0.003077309,0.002966768,0.002882713,0.004888773
25,0.004938159,0.004968695,0.004911158,0.004788286,0.004697621,0.004337243,0.003669489,0.003466283,0.003422308,0.003698326,0.00711548,0.005107997,0.006197132,0.014284136,0.004253816,0.001991041,0.00397052,0.004157271,0.003864527,0.003806873,0.003748134,0.003611705,0.003750667,0.003542424,0.003799686,0.003529687,0.003500652,0.003410964,0.003484875,0.003244051,0.003130653,0.003016859,0.003008558,0.002890998,0.002813157,0.004606472
26,0.005085434,0.005152245,0.005104531,0.004951919,0.004849489,0.004440122,0.003833392,0.003636555,0.003581876,0.003855581,0.007129462,0.004953147,0.006191952,0.015010066,0.004500746,0.001999972,0.004000138,0.004182091,0.003894223,0.003806208,0.003784767,0.003660622,0.003775396,0.0035453,0.003794052,0.0035218,0.003457805,0.003364194,0.003450695,0.003196095,0.003122013,0.002994032,0.003004006,0.002877378,0.002803876,0.00443105
