Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
0,0.121762178,0.127456326,0.110358642,0.113723678,0.101902039,0.09894839,0.124844209,0.087344478,0.101186246,0.09734275,0.095292086,0.082696854,0.080735418,0.090769014,0.086833961,0.078230632,0.071952854,0.065243115,0.061898067,0.067292431,0.067163461,0.06208978,0.060035506,0.058043187,0.066475708,0.052784825,0.058763202,0.057920397,0.056743374,0.052806224,0.050851669,0.051752942,0.051460098,0.046570495,0.045591083,0.050648205
1,0.041146456,0.042748858,0.039845986,0.038783122,0.036249629,0.033436792,0.039451657,0.030542554,0.033007586,0.032856224,0.035561461,0.025308028,0.027421257,0.039963595,0.022643534,0.024487033,0.018479858,0.0226441,0.020088202,0.021316708,0.021637582,0.017540295,0.018212716,0.015211869,0.022256722,0.015291849,0.014722424,0.014284734,0.01356991,0.013497181,0.011625439,0.011240233,0.010765131,0.009700586,0.008346859,0.010152649
2,0.01667707,0.01638583,0.01655137,0.015059055,0.015044139,0.013212488,0.016177867,0.013443981,0.013665461,0.014158675,0.016838374,0.012952446,0.012562666,0.021786398,0.01175288,0.010366193,0.008469904,0.010743787,0.009127971,0.009596744,0.009802165,0.008335112,0.008207197,0.006808072,0.009975467,0.006749049,0.00686313,0.00654847,0.00609523,0.00613162,0.004743846,0.005101307,0.004732436,0.004222656,0.003206957,0.004407226
3,0.010976268,0.010739861,0.010733668,0.009870225,0.009921215,0.008719129,0.009988679,0.0084605,0.008603312,0.008983261,0.010568297,0.00858157,0.009136748,0.014796933,0.008079977,0.007047909,0.00553807,0.006308527,0.005831832,0.006095049,0.006306046,0.005510061,0.005858242,0.004201148,0.005477479,0.004629686,0.004530095,0.00433811,0.00416529,0.004289742,0.003357621,0.003383574,0.003148337,0.002891159,0.002177739,0.002991515
4,0.007977113,0.007982336,0.007892862,0.007335113,0.007418057,0.006522554,0.007231729,0.006242701,0.006350731,0.006682335,0.007779936,0.006448668,0.006772096,0.011438546,0.006462109,0.005630938,0.004082979,0.00415861,0.00425963,0.004425897,0.004637658,0.004258167,0.004437887,0.004013738,0.003973174,0.00370563,0.003664404,0.003522491,0.003491229,0.003678323,0.002910189,0.002825789,0.002637327,0.00249207,0.001861922,0.002556935
5,0.005915007,0.005931827,0.005802408,0.005450061,0.00554512,0.004877968,0.005503333,0.004842411,0.004928288,0.005225079,0.006021556,0.005081935,0.00526182,0.009136121,0.005364703,0.005052591,0.004454712,0.00459542,0.00366828,0.00378941,0.00402095,0.003704654,0.003784311,0.003546389,0.004170443,0.003333653,0.003230384,0.003117823,0.003192231,0.003438408,0.002747882,0.002735531,0.002561025,0.002489768,0.001845404,0.002533662
6,0.004389884,0.004429437,0.00428587,0.004069003,0.004164918,0.003665388,0.004241199,0.003804695,0.003873803,0.004137914,0.004721002,0.003916016,0.003995863,0.007136062,0.004257121,0.003945046,0.003400569,0.00332779,0.002760807,0.002835538,0.003046374,0.002846696,0.002849683,0.002766391,0.003056033,0.002644952,0.002497111,0.002420467,0.002562161,0.002819504,0.002274785,0.002266469,0.002128694,0.002128938,0.001565777,0.002149148
7,0.003318031,0.00339043,0.003244645,0.003113958,0.003206448,0.002822997,0.003247867,0.002971166,0.003026407,0.003256668,0.003678946,0.003020644,0.003036111,0.005580344,0.003380523,0.003083584,0.002619137,0.002429646,0.002097132,0.00214156,0.002329212,0.002245005,0.002202005,0.002213848,0.002294397,0.002150819,0.002025331,0.001972157,0.002160178,0.002427138,0.001975799,0.001956342,0.001843472,0.001896482,0.001384276,0.001899537
8,0.002631745,0.002722903,0.002591935,0.002493448,0.00257286,0.002287248,0.002547631,0.00235118,0.00238709,0.002577961,0.002879999,0.002420059,0.002433718,0.00444308,0.002671129,0.002416616,0.002029717,0.001913338,0.001661786,0.001697459,0.001810333,0.001790123,0.001776651,0.001786508,0.001869887,0.001740493,0.001772845,0.001698598,0.001840667,0.002029231,0.00169242,0.001718279,0.001636888,0.00166439,0.001264484,0.00172816
9,0.002226902,0.002343845,0.002219154,0.00213993,0.002212707,0.001986042,0.002080762,0.001937243,0.001960466,0.002124815,0.00234751,0.002042475,0.002055056,0.003727182,0.002223475,0.001994851,0.001706651,0.001635024,0.001428774,0.001459843,0.001526724,0.001516164,0.001522809,0.001531518,0.001618757,0.001496224,0.001604276,0.001513137,0.001622243,0.001753892,0.001499451,0.001537546,0.001481098,0.001488111,0.001176409,0.001601585
10,0.002044191,0.002166003,0.002039724,0.00197163,0.002042973,0.001851207,0.002088483,0.001961529,0.001978666,0.002152217,0.002351527,0.002115976,0.002130087,0.003838906,0.002272037,0.00202104,0.001768492,0.001722112,0.001513946,0.001547284,0.001586832,0.001460515,0.001484742,0.001493487,0.001593942,0.001463117,0.001427164,0.00132571,0.00140622,0.001490171,0.001306647,0.001205913,0.00117491,0.00116616,0.00095907,0.001300831
11,0.002095112,0.002160305,0.002023334,0.001960517,0.002035753,0.00186212,0.001983315,0.001879129,0.001889493,0.002062522,0.002228603,0.00207942,0.002094329,0.003750746,0.00220235,0.001942021,0.001784378,0.001766388,0.001562105,0.001596927,0.001606042,0.001438325,0.001480182,0.001489154,0.001604661,0.001462908,0.001424285,0.001303559,0.001368101,0.001420208,0.001277953,0.001156137,0.00113955,0.001117048,0.000955508,0.001291413
12,0.002231003,0.002258328,0.002103619,0.002043275,0.00212619,0.001963091,0.001996893,0.00190861,0.001913046,0.002095611,0.002239299,0.00214632,0.002162768,0.003849386,0.002242287,0.001959681,0.001870447,0.001882561,0.001674605,0.00171238,0.001688832,0.001491088,0.001553619,0.001563303,0.00170068,0.001539987,0.001514896,0.001366632,0.001419171,0.001442312,0.001332687,0.001183306,0.001180228,0.001142264,0.001016073,0.001368615
13,0.002337462,0.002396774,0.002264825,0.002188294,0.002271701,0.002103543,0.002114025,0.0020382,0.002019286,0.002193745,0.002363117,0.002255837,0.00229962,0.004147186,0.002401703,0.002056171,0.002037091,0.002028713,0.001836973,0.001868557,0.001856279,0.001630654,0.001691117,0.001693122,0.001833817,0.001667323,0.001641606,0.001492141,0.00154073,0.001548899,0.001427168,0.001275998,0.001271119,0.001222509,0.001102908,0.001501757
14,0.002452431,0.002557644,0.002451795,0.002356587,0.002440617,0.002266526,0.002290983,0.00222785,0.00218186,0.002350615,0.002552801,0.002412792,0.002488714,0.004547165,0.002618222,0.002195383,0.002210787,0.002178221,0.002007938,0.002031817,0.002033038,0.001809629,0.001868072,0.001860919,0.002006633,0.001831958,0.001842723,0.001687459,0.001732675,0.001722949,0.001583019,0.001428468,0.001421247,0.001358178,0.001242858,0.001710455
15,0.00264403,0.002696147,0.002622008,0.002507143,0.002590394,0.002412611,0.002476065,0.002428335,0.002351177,0.002511697,0.002750286,0.002697883,0.002816189,0.005212744,0.002984349,0.00245035,0.002389412,0.002328775,0.002185706,0.002200244,0.00221733,0.002034511,0.002090637,0.00207221,0.002224497,0.002039285,0.002122874,0.001958354,0.001999747,0.001966863,0.001801887,0.001640275,0.001629948,0.00154752,0.001436577,0.001997922
16,0.002903815,0.002841278,0.002803247,0.002666666,0.002748691,0.00256748,0.002655345,0.002626067,0.00251399,0.002662767,0.002940073,0.002865906,0.003028036,0.005677148,0.00323214,0.002598133,0.002572388,0.002479648,0.00236985,0.002373337,0.00240875,0.002257998,0.002309817,0.002278015,0.002434421,0.002241073,0.002400315,0.002230449,0.002265208,0.002203617,0.002012832,0.001856467,0.001842458,0.001737757,0.001636676,0.00229985
17,0.003122517,0.002967337,0.002970182,0.002811057,0.002890662,0.002707932,0.002763948,0.002756194,0.002609116,0.002739743,0.003050616,0.00300048,0.003209442,0.006094037,0.003450533,0.002714947,0.002768167,0.002638736,0.002568305,0.00255893,0.002615403,0.002470843,0.002516259,0.002469224,0.002626781,0.00242837,0.002635738,0.002466883,0.00249188,0.002397557,0.002183421,0.002040085,0.002022123,0.001894439,0.001810465,0.002570043
18,0.003262901,0.003106053,0.003096692,0.002957419,0.003018936,0.002823627,0.002863965,0.002840265,0.002714948,0.00283024,0.003130966,0.003121372,0.00330342,0.006515679,0.003653665,0.002870801,0.00295389,0.002840265,0.002729987,0.002744113,0.002789693,0.002642009,0.00268576,0.002647206,0.002805386,0.002576009,0.00279385,0.002633877,0.00267281,0.002541963,0.002346141,0.002214116,0.002198441,0.002039792,0.001970469,0.002733675
19,0.003354976,0.003233382,0.003210819,0.003094194,0.003135571,0.002928062,0.00295803,0.002917466,0.002815843,0.002914322,0.003202955,0.003216896,0.003367133,0.006901354,0.003833293,0.003007816,0.003099549,0.003006121,0.002853411,0.002893651,0.002926012,0.002770027,0.002810868,0.002782718,0.002937801,0.002679316,0.00289628,0.002750413,0.002803833,0.002635777,0.002465503,0.002346101,0.002333495,0.002144356,0.002093764,0.002838338
20,0.00346206,0.003356848,0.00332014,0.003228447,0.00324792,0.003028144,0.003060077,0.003001569,0.002925042,0.003005733,0.003281728,0.003231772,0.003344139,0.007125148,0.00392095,0.003072446,0.003173823,0.00310468,0.002910289,0.002977618,0.002994855,0.002853834,0.002890744,0.002874346,0.003023066,0.002738288,0.002993761,0.002863898,0.002932794,0.002725139,0.002583407,0.002542676,0.002533306,0.002305766,0.002275442,0.003013685
21,0.003592797,0.003483859,0.003432002,0.003367279,0.003363163,0.003130571,0.003158044,0.003080688,0.003031057,0.003092593,0.003354242,0.003304791,0.003379195,0.007487986,0.004083021,0.003195138,0.003258386,0.003214736,0.00297598,0.003072026,0.003073338,0.002938691,0.002971395,0.002967447,0.00310924,0.002797033,0.003057208,0.002946233,0.00303074,0.00278357,0.002674295,0.002645434,0.002640102,0.002380165,0.002373839,0.003071156
22,0.003738909,0.00362263,0.003554426,0.003518717,0.00348919,0.003242662,0.003254947,0.003157825,0.003136742,0.003177892,0.003423812,0.003378758,0.003412279,0.00786771,0.004251607,0.003322617,0.003332226,0.00331565,0.003031256,0.003157118,0.003141638,0.003018772,0.003046937,0.003056129,0.003190165,0.002850035,0.003115303,0.003024563,0.003125287,0.002837163,0.002762427,0.002740967,0.00273997,0.002446868,0.002466165,0.003116138
23,0.003872868,0.003774475,0.003700088,0.003644947,0.00361753,0.003363104,0.003342436,0.003242831,0.003209132,0.003268281,0.003495188,0.003453225,0.003461415,0.008247881,0.004429555,0.003441139,0.003402438,0.00339776,0.003099197,0.003210773,0.003201343,0.003087679,0.003124249,0.003110906,0.003247253,0.002919791,0.003185159,0.003071229,0.003188188,0.002906878,0.002815477,0.002789522,0.002794322,0.002500947,0.002523281,0.003148191
24,0.004019609,0.003926523,0.003845702,0.0037698,0.00374474,0.003482581,0.003432152,0.003330004,0.003283067,0.003361096,0.003567867,0.00353724,0.003518189,0.008666331,0.004626017,0.003572538,0.00348322,0.003490966,0.003176944,0.003273836,0.003270708,0.003156694,0.003201998,0.003165157,0.003303788,0.002989848,0.003240432,0.00310309,0.003236239,0.002963501,0.002855325,0.00282472,0.002835474,0.002543386,0.002568734,0.003164448
25,0.00421564,0.004116994,0.00402867,0.003929765,0.003907095,0.003634838,0.003536996,0.003431862,0.003370821,0.003468997,0.003655145,0.00377101,0.003720626,0.009478926,0.005029082,0.003860903,0.003559866,0.003580589,0.003251106,0.003332421,0.00333589,0.003230251,0.003284695,0.003223308,0.00336439,0.003064411,0.00327391,0.003113582,0.003262354,0.003000337,0.002875763,0.002789837,0.002806285,0.002522744,0.00255048,0.003102157
26,0.004367652,0.004293895,0.004198062,0.004074882,0.004054974,0.003773736,0.003652677,0.003544242,0.003468162,0.003587835,0.00375234,0.003832611,0.003749972,0.009883335,0.005212845,0.003978593,0.003628834,0.003663009,0.00331843,0.003383272,0.003393603,0.003282068,0.003345579,0.003259196,0.00340175,0.003118531,0.003304147,0.00312066,0.003285127,0.0030343,0.002893215,0.00279538,0.002817706,0.002538552,0.002569051,0.003085048
27,0.004527485,0.004495246,0.004391055,0.00424126,0.004224308,0.003932705,0.003783314,0.003671142,0.003578875,0.003721709,0.003863467,0.003865627,0.003749665,0.010227297,0.005363171,0.004069543,0.003685872,0.003733837,0.003374996,0.003422532,0.003439923,0.003336605,0.003409483,0.00329731,0.003441431,0.003175386,0.003355838,0.003147551,0.003329077,0.003088091,0.00292926,0.002822701,0.002851153,0.002574271,0.002607808,0.003091678
28,0.004725608,0.00471165,0.004602431,0.00444541,0.004427639,0.004121972,0.00392364,0.003803955,0.003721535,0.003847407,0.003982976,0.004004405,0.003878721,0.010218145,0.005470991,0.00417691,0.003737489,0.003826417,0.003433722,0.00349868,0.003473974,0.003377911,0.003474106,0.003332269,0.003502838,0.003239215,0.00339791,0.003202509,0.003354059,0.003131921,0.002976352,0.002846878,0.002887576,0.002601408,0.002617597,0.00310584
29,0.004937228,0.004950013,0.004835256,0.004670272,0.004651601,0.004330438,0.00407596,0.003948156,0.00387628,0.003983982,0.004112957,0.004125241,0.003990238,0.010152227,0.005551837,0.004264444,0.003797563,0.003929167,0.003500647,0.003583801,0.003515356,0.003416443,0.003536569,0.003364312,0.003561949,0.003301143,0.003429422,0.003247879,0.003368223,0.003166137,0.003014438,0.002867503,0.002920573,0.002625374,0.002623938,0.003115945
30,0.005128729,0.005189815,0.005069484,0.00489649,0.004876911,0.004540157,0.004183513,0.004048786,0.003989081,0.004076027,0.004196269,0.004100509,0.00396102,0.009731174,0.00543756,0.004201908,0.003816304,0.003990314,0.003529808,0.003630736,0.003518075,0.003419612,0.003562867,0.003361417,0.003584561,0.003329388,0.003437308,0.003271085,0.00335896,0.003178614,0.003031902,0.002868119,0.002933267,0.002631056,0.002611892,0.003104227
31,0.005369961,0.005453583,0.00532712,0.005145311,0.005124735,0.004770828,0.004380378,0.004235597,0.004187766,0.004254171,0.004367406,0.004209788,0.00406132,0.00963423,0.005502259,0.004277227,0.003895266,0.004115824,0.003615055,0.003735931,0.003575815,0.003477026,0.003646262,0.003411691,0.003664522,0.003411075,0.003496039,0.003343007,0.00339902,0.003238212,0.003094427,0.002914967,0.002993431,0.002679222,0.002641749,0.003142362
32,0.005624679,0.005720785,0.005588109,0.005397368,0.005375782,0.005004494,0.004610597,0.004454306,0.004419373,0.004463415,0.004569312,0.004337806,0.004179579,0.009572427,0.00558969,0.004370773,0.004004995,0.004276263,0.003729539,0.003872324,0.003660948,0.003555711,0.003753063,0.003482549,0.003767824,0.00351483,0.00357127,0.00343135,0.003454424,0.003313305,0.003171985,0.002978947,0.003071641,0.002743324,0.002686655,0.003198502
33,0.005873349,0.005991662,0.005877497,0.005638607,0.00562008,0.005241933,0.004861712,0.00470985,0.004655228,0.00472167,0.004814301,0.004569509,0.004383137,0.009362127,0.005636103,0.004498643,0.004134739,0.004392165,0.003846356,0.003982973,0.00379685,0.003683924,0.00386442,0.003584127,0.003894725,0.003570665,0.003659149,0.003538724,0.003600196,0.003391842,0.003253043,0.003078892,0.003160842,0.002824578,0.002757843,0.003286057
34,0.006132057,0.006271383,0.006177847,0.005886846,0.005871727,0.00548715,0.005140532,0.004993668,0.004917072,0.005008514,0.005086296,0.004822999,0.00460698,0.009174447,0.005701637,0.004644701,0.004296304,0.004540333,0.003992498,0.004123266,0.003963148,0.003840634,0.004004155,0.00371191,0.004051189,0.003649631,0.003772951,0.003672661,0.003775438,0.00349421,0.003357338,0.003204504,0.003275495,0.002928675,0.00285079,0.003399729
35,0.00634264,0.006504722,0.006434643,0.006090325,0.006079076,0.005691842,0.005542844,0.005399285,0.005296334,0.005417831,0.005479922,0.005077065,0.004830738,0.008964881,0.005759783,0.004787927,0.004547478,0.004781012,0.004221509,0.004348112,0.004213772,0.004041651,0.004188136,0.003880558,0.004253666,0.00376493,0.003953353,0.003873533,0.004022917,0.003657973,0.003521158,0.003384123,0.003444115,0.00308116,0.00299008,0.003568937
36,0.006658928,0.006814422,0.006769233,0.006363982,0.006356843,0.005963369,0.005841367,0.005705711,0.005575722,0.005727935,0.005770371,0.005359645,0.005080949,0.008781382,0.005841726,0.004954443,0.004712104,0.004928478,0.004369797,0.004488767,0.0043859,0.004219031,0.004345577,0.004024467,0.004430499,0.003852172,0.004084103,0.004028007,0.00422583,0.003775507,0.003641059,0.003537651,0.003584833,0.003208843,0.003104477,0.003708705
37,0.007012989,0.007145041,0.007127268,0.006655633,0.006653019,0.006253245,0.006129755,0.00600384,0.005844836,0.006029979,0.006050327,0.005661318,0.005348488,0.008601416,0.005934723,0.005134505,0.004878774,0.005076342,0.004519673,0.004630232,0.004561264,0.004413264,0.004518416,0.004182486,0.004624299,0.003949005,0.004227202,0.0041967,0.004446932,0.003904188,0.003772232,0.003708588,0.003741899,0.003351305,0.003232378,0.003864881
38,0.007406186,0.007487677,0.007469047,0.006974717,0.006971977,0.006552974,0.006410826,0.006250587,0.006147277,0.006304341,0.006347104,0.005882774,0.005589339,0.008633142,0.006063763,0.005269769,0.005062079,0.005238038,0.004683018,0.004822304,0.00470045,0.004549925,0.004699266,0.004380937,0.004783264,0.004137585,0.004401754,0.004321341,0.004596905,0.004053794,0.003932959,0.003856882,0.003895395,0.003495866,0.00338938,0.004031816
39,0.007800297,0.007842327,0.007822812,0.007304982,0.007302112,0.006863201,0.006693313,0.006496153,0.006454166,0.006579904,0.00664702,0.006130595,0.005856869,0.008687921,0.006214668,0.005425263,0.005258179,0.005410914,0.004857739,0.005027849,0.004849231,0.004698187,0.0048954,0.004596119,0.004955698,0.004342061,0.004581135,0.004447222,0.0047495,0.004207011,0.004098357,0.004015241,0.00405939,0.003650454,0.003557606,0.004210337
40,0.008311328,0.008274201,0.008253606,0.00770715,0.007704122,0.007240959,0.006856482,0.006623889,0.006648475,0.006738024,0.006829827,0.006384996,0.00613242,0.008735342,0.00636659,0.005582981,0.005397051,0.005523101,0.004979202,0.005179799,0.004943257,0.004871324,0.005121185,0.004841916,0.005155809,0.00457556,0.00471241,0.004523421,0.004850151,0.004315347,0.004221033,0.00415532,0.00420523,0.003789316,0.003711981,0.004370734
41,0.008681288,0.008683336,0.008661719,0.008088133,0.008084954,0.007598809,0.00720179,0.006925238,0.007022188,0.007074953,0.007195642,0.006702752,0.006470829,0.008850158,0.006575119,0.005791896,0.005625987,0.005725492,0.005183299,0.005419408,0.005117573,0.00504805,0.005354841,0.005098181,0.005361298,0.004819066,0.004946175,0.004694454,0.005053847,0.004516674,0.00443585,0.004363139,0.004420005,0.003990976,0.003929582,0.004603608
42,0.009046959,0.009135186,0.009112439,0.008508879,0.008505535,0.007993999,0.007594259,0.007268567,0.007445942,0.007457957,0.007610859,0.007058143,0.006847999,0.008991347,0.006812646,0.006028277,0.005875126,0.005945859,0.005405429,0.005680088,0.005307397,0.005241591,0.005610742,0.005378849,0.005586344,0.005085755,0.005230314,0.004908155,0.005305463,0.004762763,0.004696353,0.004607474,0.004672264,0.004227368,0.00418358,0.004876589
43,0.009477174,0.009582381,0.009560303,0.009006595,0.009006846,0.008419198,0.008043743,0.007721483,0.007868381,0.00788195,0.008024922,0.00739952,0.00716417,0.00930577,0.007146765,0.006315412,0.006122889,0.006234377,0.005704238,0.005947583,0.005640916,0.005550515,0.00591018,0.005620853,0.00591836,0.00533209,0.005525447,0.005230313,0.00561508,0.005056241,0.004963588,0.004906408,0.004965351,0.004502969,0.004467515,0.005195489
44,0.009939536,0.010053603,0.010032329,0.009535473,0.009539717,0.008869076,0.008544891,0.00822662,0.008339233,0.008354542,0.008486303,0.007791299,0.007527751,0.009672568,0.007529982,0.006645132,0.006415614,0.006572692,0.006052454,0.00626172,0.006027509,0.005898359,0.006247724,0.005894247,0.006292182,0.005610097,0.005867001,0.005601933,0.005973126,0.005395211,0.005272785,0.005245612,0.005297877,0.004815695,0.004789746,0.005557366
45,0.010395498,0.010627842,0.010607367,0.010171837,0.010180573,0.009413862,0.009244574,0.008926196,0.009001138,0.009018668,0.009139508,0.00828435,0.00798749,0.010151804,0.008011572,0.007060676,0.006841073,0.007052256,0.006535722,0.006709283,0.006554042,0.006240852,0.006576121,0.006153948,0.006660605,0.005877074,0.006286833,0.006054899,0.006412369,0.005809763,0.005652634,0.005622151,0.005666633,0.00516288,0.005147894,0.005959171
