Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
59,0.025307405,0.025035788,0.025630199,0.024453572,0.025124964,0.022605933,0.022681245,0.022197142,0.022124796,0.022142587,0.023306452,0.021188676,0.020340037,0.021114496,0.020201289,0.017861549,0.017341021,0.018744591,0.017371111,0.018064867,0.017472236,0.016781086,0.017570593,0.01654034,0.018561898,0.016071666,0.017163986,0.016598561,0.016899175,0.015990328,0.015848945,0.015945618,0.016138253,0.014886777,0.01509501,0.016949424
60,0.027388021,0.026600484,0.027232553,0.025981405,0.026695308,0.024016937,0.024859245,0.024350114,0.02429263,0.024498961,0.025844332,0.023017095,0.022042321,0.022739224,0.02183915,0.019377375,0.018718619,0.020398216,0.01877056,0.019655744,0.018702947,0.018618667,0.019592554,0.018369505,0.020740689,0.017922595,0.018736747,0.01812403,0.018450007,0.017533488,0.017388476,0.017752353,0.018102368,0.016612098,0.01683389,0.018866277
61,0.029406496,0.028518187,0.029196492,0.027853852,0.028619945,0.025745976,0.026649845,0.026127423,0.02608946,0.026513268,0.028030982,0.025075865,0.023956433,0.024559259,0.023678223,0.021082567,0.02050402,0.022525482,0.020582358,0.021702343,0.020313646,0.020350878,0.021523355,0.020098347,0.022831532,0.019690499,0.020425371,0.019762351,0.020115333,0.019199026,0.019051156,0.01942424,0.019956468,0.018219129,0.018450747,0.020638992
62,0.031587764,0.030687976,0.031418705,0.029972334,0.030797597,0.027701909,0.028461689,0.027929003,0.02791402,0.028585577,0.030288084,0.027343812,0.026060643,0.02654834,0.025695544,0.022958545,0.022524976,0.024946768,0.022634735,0.024031459,0.022124501,0.022247666,0.023648697,0.021993434,0.025137719,0.021636509,0.022319394,0.021600225,0.021983367,0.021072993,0.020922616,0.021259077,0.022006041,0.019986868,0.020228202,0.022584192
63,0.033958568,0.032790357,0.033739798,0.032204523,0.03325219,0.029900506,0.030387073,0.029966501,0.02983402,0.030464107,0.032424247,0.029647836,0.028268379,0.028821992,0.027950187,0.024931313,0.02471134,0.027361002,0.024875102,0.026348744,0.024603279,0.024351379,0.025983177,0.024109024,0.027625654,0.023484407,0.024464342,0.023722823,0.024033061,0.023027349,0.022873595,0.023338975,0.024005299,0.021850549,0.022215933,0.024795923
64,0.036515983,0.034967045,0.036162032,0.034535788,0.03583259,0.032210654,0.032435964,0.032145907,0.031879544,0.032458961,0.034704214,0.032146453,0.030663499,0.031290869,0.030403089,0.027073689,0.027049828,0.029942514,0.02727692,0.02882543,0.027297072,0.026574113,0.028462575,0.026348928,0.030268988,0.025411318,0.026787043,0.026026243,0.026245854,0.025135988,0.024979746,0.025580003,0.0261422,0.023848187,0.02435853,0.027179386
65,0.040155605,0.038376371,0.039892126,0.038118362,0.039742758,0.035711931,0.033518219,0.033383532,0.032978715,0.033480505,0.035958213,0.034955704,0.033356868,0.034068784,0.033166124,0.029483988,0.029684578,0.032850974,0.029986736,0.031614886,0.030360424,0.028701567,0.030857826,0.028500924,0.032823967,0.027211133,0.029285839,0.028509883,0.028618729,0.02739577,0.027238175,0.027942929,0.028373781,0.025941501,0.026618797,0.029692943
66,0.043229629,0.041045426,0.042887883,0.041003465,0.042958856,0.038588475,0.03645966,0.036493432,0.035911051,0.036351412,0.039221472,0.037946284,0.036225482,0.037030808,0.036119273,0.032054384,0.032166115,0.035588093,0.032551344,0.034237668,0.033340476,0.031258478,0.033734816,0.031086417,0.035893235,0.029378845,0.03219044,0.031398718,0.031374088,0.030019094,0.029860372,0.030713961,0.030986486,0.028393344,0.02926939,0.032641119
67,0.046621237,0.044164549,0.046389342,0.044375111,0.046718064,0.041949568,0.040142864,0.040379794,0.039580969,0.039949176,0.043304246,0.041329993,0.039471633,0.040384535,0.039466404,0.034964134,0.034837351,0.038533903,0.035317732,0.037059168,0.036592234,0.034146449,0.036992421,0.034009383,0.039369573,0.031811937,0.035534313,0.034727754,0.034541208,0.033033324,0.032874095,0.033878158,0.033957305,0.031185048,0.032296437,0.036008278
68,0.050411441,0.048288101,0.050725938,0.048518804,0.051086182,0.045861532,0.044371744,0.04480913,0.043920754,0.044472391,0.048344531,0.045675014,0.043370955,0.043686835,0.043242521,0.038119628,0.038073183,0.042083827,0.038327001,0.04053383,0.039692257,0.037316883,0.040329825,0.037283919,0.043298099,0.035202155,0.039210872,0.038247676,0.038300369,0.036583451,0.036276522,0.037336037,0.037481287,0.034347412,0.035670379,0.039727379
69,0.054643205,0.053102111,0.055789835,0.053356433,0.056187062,0.050427475,0.049216449,0.049899267,0.048907499,0.049682408,0.054163373,0.050640164,0.047811306,0.047405181,0.047534924,0.041693364,0.041848541,0.046226132,0.041830255,0.044589607,0.043300966,0.040944046,0.044142688,0.041037451,0.047811607,0.039107458,0.043294971,0.042149924,0.042495455,0.040540378,0.040055624,0.041179127,0.041403707,0.037859437,0.039427613,0.043865746
70,0.058058136,0.05751127,0.06042898,0.057787326,0.060860254,0.054608434,0.056569039,0.057585817,0.056436935,0.057519317,0.062895025,0.055600473,0.052197488,0.050933891,0.051749091,0.04516088,0.046065947,0.05085211,0.045719234,0.049124038,0.047305581,0.045297357,0.048717463,0.045545738,0.053240031,0.043806118,0.048290198,0.046920909,0.047629297,0.045381009,0.044676315,0.045510806,0.045830646,0.041815063,0.043669729,0.048535442
